Initial Size,Experiment Size(N),Experiment Height(h),Sqrt(N)
202,194.8,13.7,13.957077057894322
203,203.6,13.7,14.268847185389575
204,203.0,13.9,14.247806848775006
205,207.0,13.4,14.38749456993816
206,207.2,13.6,14.394443372357264
207,210.4,13.4,14.505171491574997
208,211.8,13.2,14.553350129781116
209,205.2,13.5,14.324803663575986
210,209.6,13.5,14.477568856683085
211,209.4,14.1,14.470659971127786
212,218.8,14.6,14.791889669680478
213,217.8,14.2,14.758048651498612
214,209.4,14.1,14.470659971127786
215,212.4,14.0,14.573949361789344
216,210.4,14.6,14.505171491574997
217,220.4,14.8,14.845874847916509
218,220.8,13.8,14.859340496805368
219,217.4,14.5,14.744490496453244
220,217.6,13.2,14.75127113166862
221,221.0,14.1,14.866068747318506
222,224.8,14.6,14.99333185119305
223,221.4,13.6,14.879516121164693
224,217.8,14.5,14.758048651498612
225,225.0,14.2,15.0
226,219.8,13.8,14.825653442597396
227,227.6,14.1,15.086417732516887
228,223.8,14.8,14.959946523968593
229,236.0,14.1,15.362291495737216
230,233.6,14.0,15.28397853963424
231,225.2,14.8,15.006665185843255
232,231.6,14.6,15.21840990379744
233,227.4,14.5,15.079787796915447
234,233.4,14.8,15.27743433957417
235,236.2,15.0,15.368799562750501
236,236.0,13.9,15.362291495737216
237,235.2,14.8,15.336231610144651
238,237.6,14.7,15.414279094398154
239,242.8,13.7,15.582040944625964
240,233.2,14.4,15.270887335056859
241,249.6,14.6,15.798734126505199
242,245.8,14.9,15.678010077812809
243,239.8,14.9,15.485477067239485
244,239.4,14.9,15.472556349873152
245,249.4,15.0,15.792403236999744
246,246.2,14.9,15.690761613127643
247,243.6,14.9,15.607690412101336
248,247.0,15.2,15.716233645501712
249,246.2,15.7,15.690761613127643
250,248.0,15.0,15.748015748023622
251,254.6,15.0,15.956190021430555
252,259.2,15.2,16.099689437998485
253,256.0,14.7,16.0
254,248.0,16.1,15.748015748023622
255,252.4,15.9,15.8871016865884
256,255.8,14.4,15.993748778819805
257,257.0,14.7,16.0312195418814
258,256.6,14.9,16.01873902652765
259,258.4,14.8,16.074825037928093
260,263.2,14.9,16.2234398325386
261,250.6,14.7,15.830350596243912
262,262.0,14.8,16.186414056238647
263,260.8,14.8,16.14930339054908
264,264.6,14.9,16.26653005407115
265,263.4,15.3,16.229602582934678
266,258.6,15.3,16.081044742180154
267,271.2,15.9,16.46815108019112
268,268.0,15.6,16.3707055437449
269,268.6,15.1,16.389020715100706
270,267.6,15.3,16.358484037342826
271,268.4,16.3,16.382917933017914
272,274.6,15.3,16.57105910918189
273,268.4,15.8,16.382917933017914
274,269.4,15.1,16.413409152275463
275,275.2,15.7,16.589153082662175
276,273.4,15.3,16.53481176185565
277,274.4,15.5,16.565023392678924
278,269.6,15.9,16.419500601419035
279,270.4,16.2,16.443843832875572
280,283.2,15.0,16.828547174370104
281,282.0,15.4,16.792855623746664
282,279.4,15.7,16.715262486721528
283,284.0,16.3,16.852299546352718
284,280.8,16.3,16.75708805252273
285,289.6,15.5,17.017637908946117
286,283.6,16.2,16.84042754801671
287,284.2,16.5,16.858232410309213
288,286.4,15.7,16.923356641044943
289,287.6,16.8,16.95877354056006
290,283.4,16.2,16.834488409215172
291,299.4,16.1,17.30317889868795
292,295.2,16.5,17.181385275931625
293,297.6,16.4,17.25108692227826
294,289.6,16.2,17.017637908946117
295,294.6,16.0,17.16391563717324
296,290.2,15.8,17.035257556021865
297,300.8,15.5,17.34358671094304
