Initial Size,Experiment Size(N),Experiment Height(h),Sqrt(N)
819,814.0,23.8,28.53068523537421
820,812.4,22.0,28.50263145746371
821,817.8,22.1,28.597202660400196
822,819.4,22.3,28.62516375499012
823,824.6,22.7,28.715849282234366
824,819.8,21.4,28.63214976211182
825,821.4,22.1,28.660076761934885
826,823.6,22.0,28.698432012916665
827,833.0,21.8,28.861739379323623
828,827.8,21.7,28.771513689759182
829,834.0,22.4,28.879058156387302
830,836.4,22.0,28.92058090702882
831,831.4,22.0,28.83400769924292
832,835.6,22.2,28.906746617355612
833,834.8,22.7,28.892905703649813
834,829.2,22.1,28.79583303188154
835,840.6,22.0,28.993102628038965
836,838.8,22.5,28.962044126753206
837,839.8,21.6,28.979302959181055
838,836.6,21.5,28.924038445555972
839,835.4,22.2,28.903287010303863
840,831.0,22.1,28.827070610799147
841,840.6,22.3,28.993102628038965
842,843.2,22.1,29.03790626061046
843,841.6,22.8,29.010342983149993
844,846.2,21.7,29.089517012147176
845,847.4,22.9,29.110135691885738
846,845.6,21.7,29.079202189881347
847,849.8,23.0,29.15132930073687
848,847.2,22.6,29.10670025956223
849,850.2,22.5,29.158189244190044
850,860.2,22.0,29.329166370696594
851,842.0,23.4,29.017236257093817
852,855.8,22.8,29.254059547351712
853,853.8,22.1,29.219856262480143
854,847.4,23.4,29.110135691885738
855,856.4,22.3,29.264312737530673
856,852.8,22.3,29.202739597510366
857,852.6,23.0,29.199315060459895
858,845.4,22.1,29.075763102625526
859,860.6,21.8,29.335984728657056
860,859.2,22.1,29.312113536898018
861,867.8,22.5,29.45844530860378
862,856.4,22.5,29.264312737530673
863,861.6,22.0,29.353023694331732
864,863.6,23.2,29.3870719875254
865,866.6,23.4,29.438070588949948
866,870.2,21.9,29.499152530199915
867,871.0,22.3,29.512709126747414
868,853.2,22.3,29.209587467131406
869,869.0,23.1,29.478805945967352
870,870.2,21.9,29.499152530199915
871,868.8,23.7,29.475413483104862
872,858.8,23.0,29.305289624912426
873,870.8,23.4,29.50932056147684
874,873.4,22.6,29.55334160463077
875,880.0,23.4,29.664793948382652
876,881.2,23.3,29.68501305372797
877,864.6,21.7,29.404081349363732
878,874.0,22.0,29.563490998188964
879,876.8,22.3,29.610808837314796
880,882.4,22.0,29.70521839677332
881,875.8,22.8,29.593918294136042
882,881.8,22.3,29.695117443781896
883,873.6,22.9,29.556725123057866
884,872.0,23.2,29.5296461204668
885,879.6,22.8,29.65805118344764
886,888.6,22.3,29.809394492340832
887,886.2,23.1,29.7691115084075
888,878.0,22.8,29.631064780058107
889,888.2,22.8,29.802684442848435
890,891.6,23.6,29.85967179993779
891,898.6,23.3,29.97665758552811
892,886.0,22.2,29.765752132274432
893,897.4,22.5,29.95663532508282
894,890.0,23.2,29.832867780352597
895,891.0,23.0,29.8496231131986
896,888.4,23.6,29.80603965641863
897,896.8,23.5,29.946619174791667
898,891.8,23.3,29.863020610782158
899,905.8,22.9,30.09651142574501
900,898.4,22.6,29.97332147093478
901,904.0,22.9,30.066592756745816
902,912.6,22.4,30.209270100417854
903,887.6,22.8,29.792616534973895
904,913.8,23.2,30.22912502868715
905,908.0,23.5,30.133038346638727
906,901.6,23.5,30.026654825338102
907,921.4,22.9,30.35457131965464
908,908.0,22.4,30.133038346638727
909,906.2,22.2,30.103155980727337
910,917.2,23.6,30.28530997034701
911,901.0,22.4,30.01666203960727
912,908.2,22.2,30.136356780473648
913,919.4,23.0,30.32160945596391
914,920.8,22.6,30.34468652004828
915,917.8,23.0,30.29521414349138
916,911.2,24.6,30.18608951156145
917,910.8,23.3,30.1794632159023
918,924.2,23.2,30.400657887618156
919,917.4,24.1,30.288611721239388
920,920.0,23.6,30.331501776206203
921,923.6,22.8,30.390788077968626
922,932.6,23.7,30.53850029061676
923,918.8,23.2,30.31171390733292
924,913.0,23.2,30.215889859476256
925,916.0,23.7,30.265491900843113
926,923.6,22.9,30.390788077968626
927,935.0,23.7,30.577769702841312
928,934.0,22.7,30.56141357987225
929,931.0,22.9,30.512292604784715
930,915.8,23.2,30.262187627466723
931,918.6,24.4,30.308414673156364
932,939.8,22.7,30.65615761963655
933,936.6,23.4,30.603921317373693
934,923.6,23.8,30.390788077968626
935,936.4,22.8,30.600653587791225
936,928.6,23.4,30.47293881462699
937,932.2,23.4,30.53195047814666
938,951.8,22.8,30.851256052225814
939,937.6,21.9,30.62025473440742
940,938.4,24.1,30.633315197673266
941,938.0,23.8,30.62678566222711
942,943.8,23.8,30.72132809629167
943,937.2,23.4,30.61372241332308
944,953.2,22.6,30.873937228672343
945,952.8,23.5,30.867458593152758
946,940.4,23.1,30.665942020423895
947,948.4,23.9,30.796103649650227
948,964.0,24.0,31.04834939252005
949,949.4,22.9,30.812335192257013
950,946.8,22.7,30.770115371899404
951,948.6,23.5,30.799350642505438
952,950.6,24.0,30.831801763763337
953,951.6,23.6,30.848014522818158
954,962.0,22.6,31.016124838541646
955,956.4,22.9,30.925717453278267
956,958.6,22.9,30.961266123981428
957,959.8,23.4,30.980639115421745
958,952.0,23.8,30.854497241083024
959,966.0,23.5,31.080540535840107
960,965.8,23.1,31.077322922027886
961,958.6,23.0,30.961266123981428
962,959.2,23.4,30.97095413447897
963,962.4,23.2,31.02257242718598
964,960.4,23.2,30.99032106965012
965,965.4,23.4,31.070886694782303
966,958.8,23.8,30.964495797606652
967,973.0,24.2,31.192947920964443
968,965.2,23.0,31.06766808114185
969,951.4,22.3,30.844772652752685
970,964.8,23.3,31.06122985330748
971,963.8,23.1,31.045128442317644
972,975.8,22.7,31.23779761762983
973,967.2,23.7,31.099839227880263
974,971.6,23.1,31.17049887313323
975,966.6,23.9,31.090191379275876
976,966.2,23.3,31.083757816583248
977,980.6,23.5,31.314533367112467
978,980.2,23.5,31.30814590485997
979,975.6,22.7,31.234596203568888
980,963.2,22.0,31.035463586033316
981,984.8,23.7,31.381523226255286
982,975.4,23.5,31.2313944613429
983,982.4,24.0,31.34326083865557
984,980.4,23.6,31.311339798865202
985,989.2,23.4,31.45155004129367
986,984.6,24.0,31.378336475982916
987,981.4,23.4,31.327304384514157
988,1003.0,23.2,31.670175244226233
989,980.2,24.2,31.30814590485997
990,986.6,23.7,31.410189429546584
991,987.0,23.7,31.416556144810016
992,981.8,23.8,31.333687941255814
993,998.8,23.8,31.60379724020517
994,997.0,22.6,31.575306807693888
995,985.4,23.0,31.391081536003185
996,984.8,24.1,31.381523226255286
997,997.6,24.6,31.58480647399949
998,998.6,23.9,31.60063290505429
999,993.0,22.8,31.51190251317746
1000,994.4,24.6,31.534108517603602
