Size(N),Experiment Height(h),Log of Size,Sqrt of Size
341,16.6,5.815323849389109,18.313929125122222
342,17.0,5.851627601920183,18.649396773086256
343,17.5,5.860786223465865,18.734993995195193
344,16.9,5.845282036929901,18.5903200617956
345,16.6,5.8562173976999565,18.69224438102605
346,17.0,5.82600010738045,18.411952639521967
347,17.2,5.855644823965447,18.686893802876924
348,16.9,5.8664680569332965,18.788294228055936
349,16.5,5.864199196062105,18.7669923003128
350,16.9,5.857361562584502,18.70294094520966
351,17.1,5.8687317817256845,18.80957203128237
352,16.4,5.893851718240982,19.0473095212946
353,16.9,5.865901324132636,18.782971010998235
354,17.7,5.869296913133774,18.81488772222678
355,17.2,5.830121396699219,18.4499322491981
356,17.3,5.874368775231734,18.862661530123475
357,17.4,5.887769310769217,18.989470766717012
358,17.0,5.8630628323034575,18.75633226406485
359,17.6,5.9048167403823095,19.15202339179858
360,16.8,5.8771754007058545,18.88915032498815
361,17.4,5.8766147054290405,18.88385553852814
362,17.5,5.893851718240982,19.0473095212946
363,16.9,5.899349258200177,19.099738218101315
364,16.8,5.881091489626612,18.926172354705006
365,17.5,5.906995390481532,19.172897537930986
366,17.3,5.903725632799975,19.14157778240864
367,17.2,5.926926025970411,19.364916731037084
368,17.4,5.918893854273146,19.28730152198591
369,17.4,5.912962318953024,19.23018460649819
370,17.4,5.921578419643816,19.313207915827967
371,18.5,5.935951837177723,19.452506265260524
372,17.7,5.91350300563827,19.235384061671343
373,17.1,5.926392550364267,19.3597520645281
374,17.2,5.917279648918606,19.271740969616626
375,16.4,5.911880067765139,19.219781476385208
376,17.2,5.916741000912046,19.266551326067674
377,17.7,5.918356075287344,19.282116066448722
378,17.4,5.935423156224357,19.447364860052378
379,17.6,5.938591057500914,19.47819293466414
380,17.0,5.933835434271345,19.43193248238579
381,17.9,5.944896911291647,19.53970317072396
382,17.7,5.935423156224357,19.447364860052378
383,17.1,5.947512659578799,19.56527536223296
384,17.9,5.974826905954958,19.834313701260246
385,17.8,5.96255053694334,19.712939912656356
386,17.5,5.939118066735773,19.483326204732087
387,17.2,5.96665942818901,19.75348070594142
388,17.2,5.963579343618446,19.72308292331602
389,17.4,5.949078830611544,19.580602646496864
390,17.7,5.96665942818901,19.75348070594142
391,18.3,5.987456525710443,19.959959919799438
392,17.9,5.9568731023383625,19.657059800488984
393,18.1,5.984439932171018,19.929877069364977
394,17.5,5.975843166205025,19.844394674567425
395,18.6,5.968195920168628,19.76866206904251
396,17.5,5.988961416889864,19.974984355438178
397,17.6,5.982423802455833,19.909796583591707
398,17.9,6.0068456491462845,20.1544039852336
399,18.6,5.992464047441065,20.00999750124922
400,17.4,5.991464547107982,20.0
401,17.7,6.009304465236313,20.1791972090071
402,18.3,6.0024044871463165,20.109699152399074
403,18.1,5.987456525710443,19.959959919799438
404,17.7,5.991464547107982,20.0
405,18.3,6.021508668456359,20.30270917882636
406,18.0,6.008813185442595,20.174241001832016
407,18.1,6.004380772374528,20.12958022413781
408,18.1,6.003887067106539,20.12461179749811
409,18.3,6.0068456491462845,20.1544039852336
410,18.2,6.0156692358048,20.243517480912253
411,18.1,5.996949477338552,20.054924582256596
412,17.8,6.0421576614235,20.513410247932935
413,18.1,6.027796476355372,20.36663938896155
414,17.6,6.024899323194219,20.33715811021786
415,18.3,6.0239317372454835,20.32732151563506
416,19.5,6.031646336740814,20.405881505095532
417,18.0,6.019079714140955,20.27806696901852
418,18.7,6.031165913959534,20.400980368599935
419,17.8,6.0112671744041615,20.199009876724155
420,18.3,6.0454791354142206,20.547505931377657
421,18.2,6.030685260261263,20.396078054371138
422,18.2,6.024899323194219,20.33715811021786
423,17.9,6.022478600637151,20.312557692225763
424,17.8,6.051618469927729,20.610676844781203
425,18.2,6.039301876522142,20.48414020651099
426,17.9,6.0340449946431,20.43036955123426
427,18.1,6.062388885444681,20.721969018411354
428,18.3,6.0656439452822335,20.75572210259137
429,17.9,6.062388885444681,20.721969018411354
430,17.9,6.0674992333839795,20.774984957876626
431,17.7,6.089044875446846,21.0
432,18.4,6.0748861552470546,20.851858430365386
433,19.2,6.080390756302384,20.9093280618962
434,18.3,6.053969752459379,20.63492185592182
435,18.4,6.063785208687608,20.73644135332772
436,18.5,6.089498287379348,21.004761364985796
437,18.4,6.068888444072786,20.78942038634074
438,18.9,6.084954890195321,20.957099035887577
439,18.4,6.060990609756592,20.707486568871655
440,19.6,6.07993319509559,20.904544960366874
441,17.9,6.068425588244111,20.784609690826528
442,18.2,6.083587835983788,20.942779185198894
443,18.4,6.087229169092361,20.98094373473224
444,18.5,6.106577354208486,21.18490028298458
445,18.4,6.056315519427598,20.659138413786767
446,18.0,6.0994216886130745,21.109239683134017
447,18.0,6.115008733199437,21.274397758808593
448,18.3,6.095824562432225,21.071307505705477
449,18.3,6.108358298579481,21.203773249117717
450,18.9,6.105685691198005,21.17545749210628
451,19.0,6.093569770045136,21.047565179849187
452,18.2,6.134265345739653,21.48022346252478
453,18.9,6.128614385255216,21.419617176784463
