Size(N),Experiment Height(h),Log of Size,Sqrt of Size
82,12.1,4.411585436915426,9.077444574328174
83,10.4,4.37197629882038,8.899438184514796
84,10.8,4.437934266612178,9.197825830053535
85,10.9,4.468204330914934,9.338094023943002
86,11.8,4.449685283147696,9.252026804976301
87,10.9,4.442651256490317,9.219544457292887
88,10.5,4.477336814478207,9.38083151964686
89,10.5,4.506454213048934,9.518403227432634
90,10.5,4.423648309364701,9.132360045464699
91,10.5,4.504244267398131,9.50789145920377
92,11.0,4.536891345234797,9.664367542679656
93,12.1,4.534747721691546,9.654014708917737
94,11.2,4.558078578454241,9.767292357659825
95,11.1,4.558078578454241,9.767292357659825
96,10.8,4.526126978647638,9.612491872558333
97,10.9,4.534747721691546,9.654014708917737
98,10.9,4.576770711466393,9.85900603509299
99,11.7,4.591071261608589,9.929753269845127
100,10.5,4.59511985013459,9.9498743710662
101,11.5,4.6210435351443815,10.079682534683322
102,10.8,4.642465970731788,10.188228501560022
103,10.4,4.674696248636701,10.353743284435827
104,10.9,4.628886712605407,10.119288512538814
105,10.9,4.646312129319266,10.207840124139876
106,10.9,4.636668853047462,10.158740079360236
107,10.7,4.678420647727684,10.373041983911952
108,10.5,4.663439094112067,10.295630140987
109,10.5,4.634728988229636,10.14889156509222
110,10.7,4.669083511731744,10.324727599312245
111,10.9,4.689511334421843,10.430723848324238
112,11.2,4.695010889987881,10.459445491994305
113,10.8,4.704110133842995,10.507140429250958
114,10.9,4.743191483885466,10.714476188783099
115,11.0,4.762173934797756,10.816653826391969
116,10.6,4.763881877142913,10.825894882179487
117,10.7,4.77912349311153,10.908712114635714
118,10.3,4.767289035464526,10.844353369380768
119,10.9,4.7808027546312495,10.917875251164945
120,10.9,4.774068722449905,10.881176406988354
121,10.8,4.836281906951478,11.224972160321824
122,10.9,4.842611042003125,11.260550608207398
123,10.8,4.812184355372417,11.090536506409418
124,11.1,4.845760650906022,11.278297743897348
125,10.9,4.8346933442663405,11.216059914247962
126,10.5,4.817050545023591,11.117553687749837
127,11.2,4.845760650906022,11.278297743897348
128,10.8,4.83150862819882,11.198214143335536
129,11.0,4.861361591348501,11.366617790706258
130,11.5,4.847331743138063,11.28716084761797
131,10.8,4.86599480426999,11.392980294900891
132,10.8,4.9037921984782065,11.610340218959994
133,10.8,4.873669439023098,11.436782764396638
134,11.4,4.9037921984782065,11.610340218959994
135,12.0,4.918520005188451,11.696153213770756
136,10.9,4.890349128221754,11.532562594670797
137,11.1,4.933034048072704,11.781341180018513
138,11.0,4.9082333604781745,11.636150566231086
139,11.2,4.94021282979971,11.823705003085962
140,11.2,4.924350925499243,11.730302638892145
141,11.7,4.976733742420574,12.041594578792296
142,11.4,4.9849755473156785,12.091319200153471
143,11.0,4.955827057601261,11.916375287812984
144,10.8,4.950177325059141,11.882760622010357
145,11.9,4.969813299576001,12.0
146,11.5,4.991792206294776,12.13260071048248
147,11.2,4.998562712861986,12.17374223482656
148,11.6,5.025195445427586,12.336936410632909
149,11.7,5.007965065540377,12.231107881136523
150,11.8,4.997212273764115,12.165525060596439
151,11.7,5.018603463745433,12.296340919151518
152,11.4,5.006627272698717,12.222929272478018
153,12.0,5.040841136153322,12.433824833895642
154,11.5,5.042133961155627,12.441864811996632
155,11.6,5.027820118850356,12.353137253345807
156,11.1,5.0689042022202315,12.609520212918492
157,11.7,5.062595033026967,12.569805089976535
158,12.2,5.02256386496153,12.320714265009151
159,11.8,5.027820118850356,12.353137253345807
160,11.9,5.081404364984463,12.68857754044952
161,11.5,5.039546637590676,12.425779653607254
162,12.0,5.10594547390058,12.84523257866513
163,11.8,5.10230248262208,12.821856339859686
164,12.2,5.09252245356844,12.759310326189265
165,12.7,5.101085197018328,12.814054783713077
166,12.2,5.113191882421348,12.891857895586655
167,12.0,5.110782242701195,12.876334882255899
168,11.8,5.138148614395216,13.053735097664577
169,12.2,5.121580188047982,12.946041866145807
170,11.9,5.168208681201016,13.251415018781957
171,12.6,5.168208681201016,13.251415018781957
172,12.7,5.139321635057579,13.061393493804557
173,12.8,5.1428324637076415,13.0843417870369
174,12.2,5.176149732573829,13.30413469565007
175,12.8,5.160204064418402,13.198484761517134
176,12.0,5.196284640982885,13.438749941865872
177,12.5,5.168208681201016,13.251415018781957
178,12.4,5.163642463221435,13.221195104830729
179,12.3,5.169346985251076,13.258959235173778
180,12.9,5.21057845224003,13.535139452550904
181,12.6,5.19184512203752,13.408952233489387
182,13.1,5.201806466167193,13.475904422338413
183,12.5,5.201806466167193,13.475904422338413
184,12.9,5.196284640982885,13.438749941865872
185,12.5,5.201806466167193,13.475904422338413
186,12.4,5.256453162449338,13.849187701811251
187,13.1,5.228967288413243,13.660161053223348
188,13.8,5.280153395920365,14.01427843308388
189,13.5,5.267858159063328,13.92838827718412
190,13.1,5.251225759014186,13.813037319865606
191,13.2,5.27709373009641,13.992855319769443
192,13.1,5.2428046566177775,13.754999091239519
193,13.4,5.2332453698043215,13.689411966918083
194,13.0,5.276071757600717,13.98570698963767
195,13.4,5.251225759014186,13.813037319865606
196,13.3,5.297316866214453,14.135062787267696
197,14.4,5.261653382176445,13.885243966167826
198,12.7,5.288267030694535,14.071247279470288
199,12.9,5.306285536197214,14.198591479439079
200,12.9,5.295312857527738,14.120906486483083
201,13.2,5.315174483614459,14.261837188805655
202,13.8,5.308267697401205,14.212670403551895
203,13.6,5.3171391207886245,14.27585373979434
204,13.5,5.306285536197214,14.198591479439079
205,13.9,5.319099905730565,14.289856542317
206,13.8,5.321056853517526,14.303845636750978
207,14.2,5.309257306586371,14.219704638282751
208,13.5,5.32593253358101,14.338758663147937
209,13.6,5.32884657158286,14.359665734271115
210,13.7,5.32593253358101,14.338758663147937
211,13.6,5.3612921657094255,14.594519519326424
212,13.5,5.329816033607408,14.366627996854376
213,14.3,5.375278407684165,14.696938456699069
214,13.7,5.365040998590945,14.621901381147392
215,14.6,5.38541207339897,14.771594362153328
216,13.8,5.365976015021851,14.628738838327793
217,14.7,5.40357787720553,14.906374475371265
218,14.1,5.3908965478411295,14.812157169028419
219,13.9,5.389984555073861,14.805404418657398
220,14.7,5.4107527958778245,14.959946523968593
221,14.4,5.408068230507156,14.939879517586478
222,14.7,5.4240685718535975,15.05988047761336
223,13.7,5.409858741280944,14.953260514014994
224,13.9,5.4125385106380595,14.973309587395834
225,14.0,5.404477562376427,14.913081505845799
226,14.5,5.417876601605676,15.013327412669051
227,13.7,5.4169888962655355,15.006665185843255
228,14.2,5.444147814759576,15.211837495845135
229,15.3,5.435467204695271,15.145956556124146
230,14.1,5.454466049037968,15.290519938837921
231,14.4,5.430222437427975,15.106290080625355
232,14.4,5.432848259505643,15.12613632095123
233,14.2,5.460436216024472,15.336231610144651
234,14.3,5.466370951544286,15.381807436059
235,14.6,5.473949935191195,15.440207252495027
236,14.5,5.47058858748849,15.414279094398154
